station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
GVE;19570701;-;-;-;-;88.3;-;18.8;6.2;33.4;-
GVE;19570801;-;-;-;-;63;-;17.5;4.6;30.4;-
GVE;19570901;-;-;-;-;56.7;-;14.4;1.4;28.3;-
GVE;19571001;-;-;-;-;34.5;-;8.9;-2.2;21.8;-
GVE;19571101;-;-;-;-;50.7;-;5.9;-2.4;17.5;-
GVE;19571201;-;-;-;-;33.6;-;1.2;-7.3;10;-
GVE;19580101;-;-;84;966.3;77.9;1488;0.6;-11.8;11.8;-
GVE;19580201;-;-;75;966.1;104.2;5166;4.6;-6;19;-
GVE;19580301;-;-;64;960.4;50.8;8574;2.8;-5.8;16.8;-
GVE;19580401;-;-;64;964.2;39.1;9690;6.8;-2.5;20.5;-
GVE;19580501;-;-;62;967.7;83;12876;15.1;3;27.5;-
GVE;19580601;-;-;57;965.5;137.2;14892;15.7;4.4;26;-
GVE;19580701;-;-;53;966.9;56.3;15654;18.7;9.4;30.3;-
GVE;19580801;-;-;56;966.3;150;15252;18.6;8.2;32.9;-
GVE;19580901;-;-;52;968.8;97.2;12228;16.7;5;27;-
GVE;19581001;-;-;73;972;78.4;5238;8.9;-0.5;18.6;-
GVE;19581101;-;-;92;968.9;40.3;1002;5;-1.8;11.7;-
GVE;19581201;-;-;84;959.4;77.7;1794;3.5;-4.5;11.1;-
GVE;19590101;-;-;65;966.3;69.5;5076;1.4;-9.3;14.4;76
GVE;19590201;-;-;35;978.9;0;10158;1.7;-4.7;15.3;77.8
GVE;19590301;-;-;66.3;965.5;136.6;8130;7.7;-1.9;17.2;76.4
GVE;19590401;-;-;52.5;962.3;78.8;11910;9.6;-1.9;21.8;69.2
GVE;19590501;-;-;47.5;964.2;10.4;16632;13.8;1.6;23.9;71.8
GVE;19590601;-;-;52.5;968.7;61.3;15366;17.5;2.6;28;69.9
GVE;19590701;-;-;36.3;967.8;41;19200;20.6;9.6;31.7;71.5
GVE;19590801;-;-;37.5;967.7;53.5;16584;18.1;7.1;28.5;75.7
GVE;19590901;-;-;48.8;968.3;101;11130;16.2;5.9;28.1;79.7
GVE;19591001;-;-;57.5;968.8;95.4;7992;9.6;0;20.2;88.3
GVE;19591101;-;-;82.5;964.9;87.1;2382;3.5;-1.8;10.4;90.8
GVE;19591201;-;-;78.8;960;132.3;3018;3.4;-4.7;11.7;88.3
GVE;19600101;-;-;71.3;965.7;131.4;4116;0.4;-13.8;11.6;86.7
GVE;19600201;-;-;68.8;961.9;138;6588;2.6;-8;15.8;84
GVE;19600301;-;-;65;960.6;94;8766;6.6;-3;17.2;77.3
GVE;19600401;-;-;50;965.9;7.6;14322;9.2;-1;21.3;65.7
GVE;19600501;-;-;45;965.9;50.2;18018;14.4;-0.8;28;66.7
GVE;19600601;-;-;47.5;968;72.2;17508;17.7;4.7;30.9;67.8
GVE;19600701;-;-;57.5;966.5;122.4;13572;16.6;6;28.6;70
GVE;19600801;-;-;56.3;965.5;127.2;14070;17;6.6;29.1;74.1
GVE;19600901;-;-;58.8;965.9;196.6;8052;12.7;2.4;24.6;83.1
GVE;19601001;-;-;76.3;959.1;148.5;5790;9.1;-1.3;19.3;83.4
GVE;19601101;-;-;72.5;963.5;153.5;4272;6.5;-3.1;15.6;82.9
GVE;19601201;-;-;85;960.2;60.7;2472;1.5;-8.9;13.8;82.4
GVE;19610101;-;-;86.3;965.7;84.6;2106;1.6;-3.9;11.6;84.8
GVE;19610201;-;-;68.8;974.6;65.6;5832;4.6;-3;18.2;82.5
GVE;19610301;-;-;28.8;974.5;11.1;15042;6.3;-4.1;20.6;70.8
GVE;19610401;-;-;66.3;961.5;86.4;9654;11.6;0.5;25;74.3
GVE;19610501;-;-;56.3;965.2;26;13614;12.3;0.6;25.3;68.9
GVE;19610601;-;-;52.5;967.2;43.1;14262;17.2;4.8;31.1;69.9
GVE;19610701;-;-;47.5;967.8;98.7;15672;17.5;6;31;68.4
GVE;19610801;-;-;38.8;970;68.7;16872;17.4;5.2;30.2;70.1
GVE;19610901;-;-;43.8;969;25.8;12918;17.7;6.6;29.6;74.1
GVE;19611001;-;-;66.3;965.6;68.5;6432;10.9;0.3;21.3;81.7
GVE;19611101;-;-;80;962.4;64.4;3354;4.9;-2.3;15.4;80.9
GVE;19611201;-;-;76.3;964.9;148.6;3666;3;-7.5;16.1;81.9
GVE;19620101;-;-;74;969.3;102;4590;2.9;-7.9;13.2;79.6
GVE;19620201;-;0;71;970.3;81.5;5394;1.3;-7.9;10.9;75.2
GVE;19620301;-;0;60;958.9;143.4;8850;2.7;-6.6;14.3;68.9
GVE;19620401;-;0;55;964.6;54.8;12408;8.8;-2.9;23.4;65.8
GVE;19620501;-;0;64;965.9;74.3;13044;11.8;-2.1;27.8;67.6
GVE;19620601;-;0;39;969.4;31.8;20430;15.9;1.3;32.1;61.4
GVE;19620701;-;0;46;967;13.6;15948;18;3;34.5;60.1
GVE;19620801;-;0;30;968.4;28.5;20466;20.1;8.2;34;56.7
